Proposal ID,Programme Name,Lead Applicant,Research Body,Title of Research,Start Date,End Date,Revised Total Commitment (including overhead)
15/CDA/3451,SFI Career Development Award,Angela Feechan,University College Dublin (UCD),ReWIZ: Re-establishing Wheat Immunity to Zymoseptoria tritici,12/09/2017,11/09/2021,"523,698"
15/SIRG/3324,SFI Starting Investigator Research Grant (SIRG),Lorna Lopez,Trinity College Dublin (TCD),Discovery to clinical utility of rare mutations by whole genome sequencing in neurodevelopmental disorders,01/08/2017,31/07/2021,"511,997"
15/IFB/3626,SFI Industry Fellowship,Tandra Ghoshal,University College Cork (UCC),Innovative protocol for the development of nanoporous/nanostructured materials patterning using block copolymer lithography for advanced optoelectronic thermal management,01/04/2017,31/03/2018,"82,521"
15/SIRG/3538,SFI Starting Investigator Research Grant (SIRG),Antonio Benedetto,University College Dublin (UCD),Breathing Life into Room-Temperature Ionic Liquids: a Comprehensive Experimental and Computational Study of their Interaction with Biomolecules,01/01/2017,31/12/2020,"499,376"
15/IA/3024 EPA(N),SFI Investigator Programme,Brian Donlon,Environmental Protection Agency (EPA),Developing geochronology by LA-ICPMS imaging: applications of U-Pb calcite dating in raw materials research,01/12/2016,30/11/2021,"-215,973"
15/IA/3024 GSI(N),SFI Investigator Programme,Koen Verbruggen,Geological Survey of Ireland,Developing geochronology by LA-ICPMS imaging: applications of U-Pb calcite dating in raw materials research,01/12/2016,30/11/2021,"-215,973"
15/SIRG/3293,SFI Starting Investigator Research Grant (SIRG),Klaas-Jan Stol,University of Limerick (UL),Software Development with Alternative Workforces,01/12/2016,30/11/2020,"463,314"
15/SIRG/3501,SFI Starting Investigator Research Grant (SIRG),Liliana Pasquale,University College Dublin (UCD),Forensic Investigations for Cyber-Physical Incidents,01/12/2016,30/11/2020,"489,139"
15/CDA/3629,SFI Career Development Award,Dimitrios Zeugolis,"National University of Ireland, Galway (NUIG)",Tissue Engineered Nanoassemblies – Advanced Biomimicry of Living Equivalents (Short Title: TENABLE),01/12/2016,30/11/2020,"493,759"
15/CDA/3598,SFI Career Development Award,Gabriel Leen,University of Limerick (UL),Optical Fibre based sensors,01/12/2016,30/11/2020,"504,825"
15/SIRG/3569,SFI Starting Investigator Research Grant (SIRG),Santosh Kulkarni,Tyndall National Institute (TNI),Advanced Power Magnetics Programme for High Efficiency Power Supplies,01/12/2016,30/11/2020,"508,011"
15/SIRG/3552,SFI Starting Investigator Research Grant (SIRG),Ahmad B. Albadarin,University of Limerick (UL),Natural matErials for Advanced Therapeutics (NEAT): Biomaterial Derived Excipients for Improved Bioavailability,01/12/2016,30/11/2020,"509,184"
15/SIRG/3456,SFI Starting Investigator Research Grant (SIRG),Aideen Ryan,"National University of Ireland, Galway (NUIG)",RESTRAIN' Investigation of tumour stromal interactions in metastatic colon cancer for the identification of novel immuno-therapeutic targets,01/12/2016,30/11/2020,"518,821"
15/SIRG/3482,SFI Starting Investigator Research Grant (SIRG),Naomi Walsh,Dublin City University (DCU),Functional application of genomic variants to deliver personalized strategies for pancreatic cancer patients,01/12/2016,30/11/2020,"519,712"
16/ERCD/3685,SFI ERC Development Programme,Stephen Dooley,Trinity College Dublin (TCD),Synthesis and Purification of Hydroperoxides from Liquid Fuels and Demonstration of their Ability to Extend Low Temperature and Lean Combustion Limits in Reciprocating Engines,01/12/2016,30/11/2018,"529,168"
15/CDA/3640,SFI Career Development Award,Prince Anandarajah,Dublin City University (DCU),PROgrammable multicarrier Transmitter for flexible Optical Networks (PROTON),01/12/2016,30/11/2020,"583,138"
