Research Body,date,value
University College Dublin (UCD),09/17,"523,698"
Trinity College Dublin (TCD),08/17,"511,997"
University College Cork (UCC),04/17,"82,521"
University College Dublin (UCD),01/17,"499,376"
Environmental Protection Agency (EPA),12/16,"-215,973"
Geological Survey of Ireland,12/16,"-215,973"
University of Limerick (UL),12/16,"463,314"
University College Dublin (UCD),12/16,"489,139"
"National University of Ireland, Galway (NUIG)",12/16,"493,759"
University of Limerick (UL),12/16,"504,825"
Tyndall National Institute (TNI),12/16,"508,011"
University of Limerick (UL),12/16,"509,184"
"National University of Ireland, Galway (NUIG)",12/16,"518,821"
Dublin City University (DCU),12/16,"519,712"
Trinity College Dublin (TCD),12/16,"529,168"
Dublin City University (DCU),12/16,"583,138"
Trinity College Dublin (TCD),12/16,"620,974"
University College Dublin (UCD),12/16,"628,349"
University College Dublin (UCD),12/16,"636,595"
Trinity College Dublin (TCD),12/16,"637,894"
Trinity College Dublin (TCD),12/16,"638,309"
University College Cork (UCC),12/16,"639,453"
Dublin City University (DCU),12/16,"642,150"
Trinity College Dublin (TCD),12/16,"647,921"
Tyndall National Institute (TNI),12/16,"877,013"
University College Dublin (UCD),12/16,"1,548,873"
University College Dublin (UCD),11/16,"517,342"
Trinity College Dublin (TCD),11/16,"150,000"
Dublin Institute for Advanced Studies (DIAS),11/16,"509,099"
Dublin City University (DCU),11/16,"519,441"
Trinity College Dublin (TCD),11/16,"519,739"
"National University of Ireland, Maynooth (NUIM)",11/16,"601,611"
Trinity College Dublin (TCD),11/16,"608,419"
Royal College of Surgeons in Ireland (RCSI),11/16,"638,694"
University College Dublin (UCD),11/16,"1,176,703"
Dublin Institute for Advanced Studies (DIAS),11/16,"1,600,200"
University College Dublin (UCD),10/16,"2,936"
Dublin City University (DCU),10/16,"76,782"
Dublin Institute of Technology (DIT),10/16,"103,792"
Dublin City University (DCU),10/16,"456,875"
University of Limerick (UL),10/16,"485,530"
Trinity College Dublin (TCD),10/16,"503,335"
Dublin City University (DCU),10/16,"503,478"
University College Dublin (UCD),10/16,"507,512"
Trinity College Dublin (TCD),10/16,"517,213"
"National University of Ireland, Galway (NUIG)",10/16,"518,749"
University College Cork (UCC),10/16,"519,492"
University College Dublin (UCD),10/16,"605,120"
University College Cork (UCC),10/16,"605,767"
University of Limerick (UL),10/16,"612,735"
Trinity College Dublin (TCD),10/16,"632,078"
Royal College of Surgeons in Ireland (RCSI),10/16,"647,925"
Trinity College Dublin (TCD),10/16,"1,276,291"
Trinity College Dublin (TCD),10/16,"1,877,163"
Tyndall National Institute (TNI),10/16,"1,938,557"
Trinity College Dublin (TCD),09/16,"150,000"
Marine Institute,09/16,"-970,075"
Royal College of Surgeons in Ireland (RCSI),09/16,"68,408"
Tyndall National Institute (TNI),09/16,"84,257"
Trinity College Dublin (TCD),09/16,"390,425"
Trinity College Dublin (TCD),09/16,"453,766"
University College Dublin (UCD),09/16,"568,131"
Trinity College Dublin (TCD),09/16,"610,640"
Trinity College Dublin (TCD),09/16,"1,356,177"
Tyndall National Institute (TNI),09/16,"1,483,783"
Tyndall National Institute (TNI),09/16,"1,605,610"
"National University of Ireland, Galway (NUIG)",09/16,"1,714,058"
University College Dublin (UCD),09/16,"1,744,155"
Tyndall National Institute (TNI),09/16,"1,750,383"
Trinity College Dublin (TCD),09/16,"1,786,484"
University College Dublin (UCD),09/16,"1,849,519"
